ref,value,footprint,"origin (col,row)",rotation,"pins (col,row)",note
J1,12 V IN,terminal 2 pos 5.08 mm,"(3,4)",0,"+=(3,4) -=(5,4)","screw terminal, 5.08 mm pitch (sits on the 0.1 in grid)"
F1,PTC 1.1 A,"radial PTC, 5 mm lead spacing","(8,4)",0,"1=(8,4) 2=(10,4)",resettable fuse e.g. MF-R110 (or a 2 A fuse holder)
D1,1N5822,"axial DO-201, 12.7 mm span","(17,4)",180,"K=(17,4) A=(12,4)","reverse-polarity protection, 3 A Schottky (SB540/SB560 ok)"
C1,470u 25V,"radial 10 mm, 5 mm lead spacing","(11,7)",90,"+=(11,7) -=(11,9)",bulk cap for the motor driver (polymer or electrolytic)
D2,1.5KE22CA,"axial DO-201, 12.7 mm span","(14,8)",0,"K=(14,8) A=(19,8)",bidirectional TVS across VM (optional on a bench supply)
C2,100n,"ceramic, 5.08 mm span","(21,7)",90,"1=(21,7) 2=(21,9)",7805 input decoupling
U2,L7805CV,TO-220 upright + clip-on heatsink,"(23,7)",0,"IN=(23,7) GND=(24,7) OUT=(25,7)",5 V for the ACS712s and the Black Pill; ~0.7 W -> small heatsink
C3,100u 16V,"radial 8 mm, 3.5-5 mm lead spacing","(28,7)",90,"+=(28,7) -=(28,9)",7805 output cap (polymer ok)
C4,100n,"ceramic, 5.08 mm span","(31,7)",90,"1=(31,7) 2=(31,9)",7805 output decoupling
D3,1N5819,"axial DO-41, 10.16 mm span","(36,11)",270,"K=(36,11) A=(36,7)",5 V bus -> Black Pill 5V pin; keeps the 7805 from back-feeding a USB host
R4,100k,"axial 1/4 W, 10.16 mm span","(10,11)",0,"1=(10,11) 2=(14,11)","VBUS sense divider, top"
R5,15k,"axial 1/4 W, 10.16 mm span","(14,12)",0,"1=(14,12) 2=(18,12)","VBUS sense divider, bottom (12 V -> 1.57 V, 24 V -> 3.13 V)"
U1,STM32F401CCU6,WeAct Black Pill V3.0 on 2x 1x20 female headers,"(3,14)",0,"5V=(3,14) G=(4,14) 3V3=(5,14) B10=(6,14) B2=(7,14) B1=(8,14) B0=(9,14) A7=(10,14) A6=(11,14) A5=(12,14) A4=(13,14) A3=(14,14) A2=(15,14) A1=(16,14) A0=(17,14) R=(18,14) C15=(19,14) C14=(20,14) C13=(21,14) VB=(22,14) B12=(3,20) B13=(4,20) B14=(5,20) B15=(6,20) A8=(7,20) A9=(8,20) A10=(9,20) A11=(10,20) A12=(11,20) A15=(12,20) B3=(13,20) B4=(14,20) B5=(15,20) B6=(16,20) B7=(17,20) B8=(18,20) B9=(19,20) 5V=(20,20) G=(21,20) 3V3=(22,20)",USB-C DFU + SWD programmable; 3.3 V LDO on board
U11,SimpleFOC Mini (M1),"SimpleFOC Mini v1.1, male pins down","(7,26)",0,"IN1=(7,26) IN2=(8,26) IN3=(9,26) EN=(10,26) GND=(11,26) GND=(12,26) nFT=(7,27) nSP=(8,27) nRT=(9,27) GND=(10,27) 3V3=(11,27) M1=(8,33) M2=(9,33) M3=(10,33)",DRV8313; plug into 1x6 + 1x5 + 1x3 female sockets or solder the pins directly
J11,AS5600 M1,1x5 male header,"(17,25)",0,"3V3=(17,25) GND=(18,25) SCL=(19,25) SDA=(20,25) DIR=(21,25)",to the encoder on the motor; DIR tied to GND on the board
R22,4k7,"axial 1/4 W, 10.16 mm span","(19,27)",90,"1=(19,27) 2=(19,31)",I2C pull-up SCL (M1)
R23,4k7,"axial 1/4 W, 10.16 mm span","(20,27)",90,"1=(20,27) 2=(20,31)",I2C pull-up SDA (M1)
J21,MOTOR 1,terminal 3 pos 5.08 mm,"(36,27)",90,"A=(36,27) B=(36,29) C=(36,31)",2804 gimbal motor phases
TP1G,,solder point,"(16,27)",0,"1=(16,27)",hookup wire up to the module's VIN- terminal
TP1V,,solder point,"(16,29)",0,"1=(16,29)",hookup wire up to the module's VIN+ terminal
U14,ACS712-05B,ACS712 module on a 1x3 female socket,"(26,13)",0,"VCC=(26,13) OUT=(27,13) GND=(28,13)",185 mV/A; needs 5 V; output centred at 2.5 V
R34,10k,"axial 1/4 W, 10.16 mm span","(25,11)",0,"1=(25,11) 2=(29,11)",U14 OUT series resistor (divider top)
R35,20k,"axial 1/4 W, 10.16 mm span","(25,10)",0,"1=(25,10) 2=(29,10)",U14 divider bottom: 0-5 V -> 0-3.3 V for the ADC
TP1A,,solder point,"(26,25)",0,"1=(26,25)",hole for the phase lead into IP+
TP1A2,,solder point,"(28,25)",0,"1=(28,25)",hole for the phase lead out of IP-
U15,ACS712-05B,ACS712 module on a 1x3 female socket,"(32,13)",0,"VCC=(32,13) OUT=(33,13) GND=(34,13)",185 mV/A; needs 5 V; output centred at 2.5 V
R36,10k,"axial 1/4 W, 10.16 mm span","(31,11)",0,"1=(31,11) 2=(35,11)",U15 OUT series resistor (divider top)
R37,20k,"axial 1/4 W, 10.16 mm span","(31,10)",0,"1=(31,10) 2=(35,10)",U15 divider bottom: 0-5 V -> 0-3.3 V for the ADC
TP1B,,solder point,"(32,25)",0,"1=(32,25)",hole for the phase lead into IP+
TP1B2,,solder point,"(34,25)",0,"1=(34,25)",hole for the phase lead out of IP-
