step,net,cls,kind,frm,to,wire,length_mm,note
1,VM,VM,bus bar,"hole (10,7)","hole (23,7)",bare tinned 22 AWG solid,43,"leads sitting on this bus, solder them to it: C1.+, C2.1, U2.IN"
2,+5V,5V,bus bar,"hole (25,7)","hole (36,7)",bare tinned 22 AWG solid,38,"leads sitting on this bus, solder them to it: U2.OUT, C3.+, C4.1, D3.A"
3,GND,GND,bus bar,"hole (36,9)","hole (2,9)",bare tinned 22 AWG solid,96,"leads sitting on this bus, solder them to it: C1.-, C2.2, C3.-, C4.2"
4,GND,GND,bus bar,"hole (2,9)","hole (2,36)",bare tinned 22 AWG solid,79,
5,GND,GND,bus bar,"hole (2,36)","hole (36,36)",bare tinned 22 AWG solid,96,
6,GND,GND,tap to bus,"J1.- (5,4)","GND bus at (5,9)","hookup 22 AWG solid, black",25,
7,GND,GND,tap to bus,"U2.GND (24,7)","GND bus at (24,9)","hookup 22 AWG solid, black",17,
8,GND,GND,tap to bus,"D2.A (19,8)","GND bus at (19,9)","hookup 22 AWG solid, black",15,
9,GND,GND,tap to bus,"R35.2 (29,10)","GND bus at (29,9)","hookup 22 AWG solid, black",15,
10,GND,GND,tap to bus,"R37.2 (35,10)","GND bus at (35,9)","hookup 22 AWG solid, black",15,
11,GND,GND,tap to bus,"R5.2 (18,12)","GND bus at (18,9)","hookup 22 AWG solid, black",20,
12,GND,GND,tap to bus,"U14.GND (28,13)","GND bus at (28,9)","hookup 22 AWG solid, black",22,
13,GND,GND,tap to bus,"U15.GND (34,13)","GND bus at (34,9)","hookup 22 AWG solid, black",22,
14,GND,GND,tap to bus,"U1.G (4,14)","GND bus at (2,14)","hookup 22 AWG solid, black",17,
15,GND,GND,tap to bus,"U1.G (21,20)","GND bus at (21,9)","hookup 22 AWG solid, black",40,
16,GND,GND,tap to bus,"J11.GND (18,25)","GND bus at (18,36)","hookup 22 AWG solid, black",40,
17,GND,GND,tap to bus,"J11.DIR (21,25)","GND bus at (21,36)","hookup 22 AWG solid, black",40,
18,GND,GND,tap to bus,"U11.GND (11,26)","GND bus at (2,26)","hookup 22 AWG solid, black",35,
19,GND,GND,tap to bus,"TP1G.1 (16,27)","GND bus at (16,36)","hookup 22 AWG solid, black",35,
20,VIN_F,VM,wire,"F1.2 (10,4)","D1.A (12,4)","hookup 22 AWG solid, red",17,
21,VIN_RAW,VM,wire,"J1.+ (3,4)","F1.1 (8,4)","hookup 22 AWG solid, red",25,
22,VM,VM,tap to bus,"D1.K (17,4)","VM bus at (17,7)","hookup 22 AWG solid, red",20,
23,VM,VM,tap to bus,"D2.K (14,8)","VM bus at (14,7)","hookup 22 AWG solid, red",15,
24,VM,VM,tap to bus,"R4.1 (10,11)","VM bus at (10,7)","hookup 22 AWG solid, red",22,
25,VM,VM,tap to bus,"TP1V.1 (16,29)","VM bus at (16,7)","hookup 22 AWG solid, red",68,
26,+5V,5V,tap to bus,"U14.VCC (26,13)","+5V bus at (26,7)","hookup 22 AWG solid, orange",27,
27,+5V,5V,tap to bus,"U15.VCC (32,13)","+5V bus at (32,7)","hookup 22 AWG solid, orange",27,
28,+5V_BP,5V,wire,"D3.K (36,11)","U1.5V (20,20)","hookup 22 AWG solid, orange",76,
