step,net,cls,kind,frm,to,wire,length_mm,note
1,VM,VM,bus bar,"hole (10,7)","hole (23,7)",bare tinned 22 AWG solid,43,"leads sitting on this bus, solder them to it: C1.+, C2.1, U2.IN"
2,+5V,5V,bus bar,"hole (25,7)","hole (37,7)",bare tinned 22 AWG solid,40,"leads sitting on this bus, solder them to it: U2.OUT, C3.+, C4.1, D3.A"
3,+5V,5V,bus bar,"hole (37,7)","hole (37,41)",bare tinned 22 AWG solid,96,
4,GND,GND,bus bar,"hole (36,9)","hole (2,9)",bare tinned 22 AWG solid,96,"leads sitting on this bus, solder them to it: C1.-, C2.2, C3.-, C4.2"
5,GND,GND,bus bar,"hole (2,9)","hole (2,36)",bare tinned 22 AWG solid,79,
6,GND,GND,bus bar,"hole (2,36)","hole (36,36)",bare tinned 22 AWG solid,96,
7,GND,GND,tap to bus,"J1.- (5,4)","GND bus at (5,9)","hookup 22 AWG solid, black",25,
8,GND,GND,tap to bus,"U2.GND (24,7)","GND bus at (24,9)","hookup 22 AWG solid, black",17,
9,GND,GND,tap to bus,"D2.A (19,8)","GND bus at (19,9)","hookup 22 AWG solid, black",15,
10,GND,GND,tap to bus,"R35.2 (29,10)","GND bus at (29,9)","hookup 22 AWG solid, black",15,
11,GND,GND,tap to bus,"R37.2 (35,10)","GND bus at (35,9)","hookup 22 AWG solid, black",15,
12,GND,GND,tap to bus,"R5.2 (18,12)","GND bus at (18,9)","hookup 22 AWG solid, black",20,
13,GND,GND,tap to bus,"U14.GND (28,13)","GND bus at (28,9)","hookup 22 AWG solid, black",22,
14,GND,GND,tap to bus,"U15.GND (34,13)","GND bus at (34,9)","hookup 22 AWG solid, black",22,
15,GND,GND,tap to bus,"U1.G (4,14)","GND bus at (2,14)","hookup 22 AWG solid, black",17,
16,GND,GND,tap to bus,"U1.G (21,20)","GND bus at (21,9)","hookup 22 AWG solid, black",40,
17,GND,GND,tap to bus,"J11.GND (18,25)","GND bus at (18,36)","hookup 22 AWG solid, black",40,
18,GND,GND,tap to bus,"J11.DIR (21,25)","GND bus at (21,36)","hookup 22 AWG solid, black",40,
19,GND,GND,tap to bus,"U11.GND (11,26)","GND bus at (2,26)","hookup 22 AWG solid, black",35,
20,GND,GND,tap to bus,"TP1G.1 (16,27)","GND bus at (16,36)","hookup 22 AWG solid, black",35,
21,GND,GND,tap to bus,"R39.2 (27,37)","GND bus at (27,36)","hookup 22 AWG solid, black",15,
22,GND,GND,tap to bus,"R41.2 (33,37)","GND bus at (33,36)","hookup 22 AWG solid, black",15,
23,GND,GND,tap to bus,"U16.GND (26,40)","GND bus at (26,36)","hookup 22 AWG solid, black",22,
24,GND,GND,tap to bus,"U17.GND (32,40)","GND bus at (32,36)","hookup 22 AWG solid, black",22,
25,GND,GND,tap to bus,"J12.GND (18,41)","GND bus at (18,36)","hookup 22 AWG solid, black",25,
26,GND,GND,tap to bus,"J12.DIR (21,41)","GND bus at (21,36)","hookup 22 AWG solid, black",25,
27,GND,GND,tap to bus,"U12.GND (11,42)","GND bus at (11,36)","hookup 22 AWG solid, black",27,
28,GND,GND,tap to bus,"TP2G.1 (16,43)","GND bus at (16,36)","hookup 22 AWG solid, black",30,
29,VIN_F,VM,wire,"F1.2 (10,4)","D1.A (12,4)","hookup 22 AWG solid, red",17,
30,VIN_RAW,VM,wire,"J1.+ (3,4)","F1.1 (8,4)","hookup 22 AWG solid, red",25,
31,VM,VM,tap to bus,"D1.K (17,4)","VM bus at (17,7)","hookup 22 AWG solid, red",20,
32,VM,VM,tap to bus,"D2.K (14,8)","VM bus at (14,7)","hookup 22 AWG solid, red",15,
33,VM,VM,tap to bus,"R4.1 (10,11)","VM bus at (10,7)","hookup 22 AWG solid, red",22,
34,VM,VM,tap to bus,"TP1V.1 (16,29)","VM bus at (16,7)","hookup 22 AWG solid, red",68,
35,VM,VM,tap to bus,"TP2V.1 (16,45)","VM bus at (16,7)","hookup 22 AWG solid, red",109,
36,+5V,5V,tap to bus,"U14.VCC (26,13)","+5V bus at (26,7)","hookup 22 AWG solid, orange",27,
37,+5V,5V,tap to bus,"U15.VCC (32,13)","+5V bus at (37,13)","hookup 22 AWG solid, orange",25,
38,+5V,5V,tap to bus,"U16.VCC (24,40)","+5V bus at (37,40)","hookup 22 AWG solid, orange",45,
39,+5V,5V,tap to bus,"U17.VCC (30,40)","+5V bus at (37,40)","hookup 22 AWG solid, orange",30,
40,+5V_BP,5V,wire,"D3.K (36,11)","U1.5V (20,20)","hookup 22 AWG solid, orange",76,
41,+3V3,3V3,wire,"J11.3V3 (17,25)","R22.2 (19,31)","hookup 22 AWG solid, yellow",32,
42,+3V3,3V3,link (bend the lead / short bridge),"R22.2 (19,31)","R23.2 (20,31)",bare lead / short wire,0,
43,+3V3,3V3,wire,"R23.2 (20,31)","J12.3V3 (17,41)","hookup 22 AWG solid, yellow",45,
44,+3V3,3V3,wire,"J12.3V3 (17,41)","R24.2 (19,47)","hookup 22 AWG solid, yellow",32,
45,+3V3,3V3,link (bend the lead / short bridge),"R24.2 (19,47)","R25.2 (20,47)",bare lead / short wire,0,
46,+3V3,3V3,wire,"R25.2 (20,47)","U1.3V3 (22,20)","hookup 22 AWG solid, yellow",86,
47,PH_A1,PHASE,wire,"TP1A2.1 (28,25)","J21.A (36,27)","hookup 22 AWG solid, brown",37,
48,PH_A1_in,PHASE,wire,"U11.M1 (8,33)","TP1A.1 (26,25)","hookup 22 AWG solid, brown",78,
49,PH_A2,PHASE,wire,"TP2A2.1 (26,52)","J22.A (36,44)","hookup 22 AWG solid, brown",58,
50,PH_A2_in,PHASE,wire,"U12.M1 (8,49)","TP2A.1 (24,52)","hookup 22 AWG solid, brown",60,
51,PH_B1,PHASE,wire,"TP1B2.1 (34,25)","J21.B (36,29)","hookup 22 AWG solid, brown",27,
52,PH_B1_in,PHASE,wire,"U11.M2 (9,33)","TP1B.1 (32,25)","hookup 22 AWG solid, brown",91,
53,PH_B2,PHASE,wire,"TP2B2.1 (32,52)","J22.B (36,46)","hookup 22 AWG solid, brown",37,
54,PH_B2_in,PHASE,wire,"U12.M2 (9,49)","TP2B.1 (30,52)","hookup 22 AWG solid, brown",73,
55,PH_C1,PHASE,wire,"U11.M3 (10,33)","J21.C (36,31)","hookup 22 AWG solid, brown",83,
56,PH_C2,PHASE,wire,"U12.M3 (10,49)","J22.C (36,48)","hookup 22 AWG solid, brown",81,
57,PWM_A1,PWM,wire,"U1.A8 (7,20)","U11.IN1 (7,26)","wire-wrap 30 AWG, green",27,
58,PWM_A2,PWM,wire,"U1.A6 (11,14)","U12.IN1 (7,42)","wire-wrap 30 AWG, green",93,
59,PWM_B1,PWM,wire,"U1.A9 (8,20)","U11.IN2 (8,26)","wire-wrap 30 AWG, green",27,
60,PWM_B2,PWM,wire,"U1.A7 (10,14)","U12.IN2 (8,42)","wire-wrap 30 AWG, green",88,
61,PWM_C1,PWM,wire,"U1.A10 (9,20)","U11.IN3 (9,26)","wire-wrap 30 AWG, green",27,
62,PWM_C2,PWM,wire,"U1.B0 (9,14)","U12.IN3 (9,42)","wire-wrap 30 AWG, green",83,
63,EN1,CTRL,wire,"U1.B13 (4,20)","U11.EN (10,26)","wire-wrap 30 AWG, violet",42,
64,EN2,CTRL,wire,"U1.B14 (5,20)","U12.EN (10,42)","wire-wrap 30 AWG, violet",81,
65,nFAULT1,CTRL,wire,"U1.B12 (3,20)","U11.nFT (7,27)","wire-wrap 30 AWG, violet",40,
66,nFAULT2,CTRL,wire,"U1.B15 (6,20)","U12.nFT (7,43)","wire-wrap 30 AWG, violet",73,
67,SCL1,I2C,wire,"U1.B6 (16,20)","J11.SCL (19,25)","wire-wrap 30 AWG, blue",32,
68,SCL1,I2C,wire,"J11.SCL (19,25)","R22.1 (19,27)","wire-wrap 30 AWG, blue",17,
69,SCL2,I2C,wire,"U1.B10 (6,14)","J12.SCL (19,41)","wire-wrap 30 AWG, blue",114,
70,SCL2,I2C,wire,"J12.SCL (19,41)","R24.1 (19,43)","wire-wrap 30 AWG, blue",17,
71,SDA1,I2C,wire,"U1.B7 (17,20)","J11.SDA (20,25)","wire-wrap 30 AWG, blue",32,
72,SDA1,I2C,wire,"J11.SDA (20,25)","R23.1 (20,27)","wire-wrap 30 AWG, blue",17,
73,SDA2,I2C,wire,"U1.B3 (13,20)","J12.SDA (20,41)","wire-wrap 30 AWG, blue",83,
74,SDA2,I2C,wire,"J12.SDA (20,41)","R25.1 (20,43)","wire-wrap 30 AWG, blue",17,
75,I_A1,SENSE,wire,"R35.1 (25,10)","U1.A1 (16,14)","wire-wrap 30 AWG, cyan",45,
76,I_A1,SENSE,link (bend the lead / short bridge),"R34.1 (25,11)","R35.1 (25,10)",bare lead / short wire,0,
77,I_A2,SENSE,wire,"R39.1 (23,37)","U1.A4 (13,14)","wire-wrap 30 AWG, cyan",96,
78,I_A2,SENSE,link (bend the lead / short bridge),"R38.1 (23,38)","R39.1 (23,37)",bare lead / short wire,0,
79,I_B1,SENSE,wire,"R37.1 (31,10)","U1.A2 (15,14)","wire-wrap 30 AWG, cyan",63,
80,I_B1,SENSE,link (bend the lead / short bridge),"R36.1 (31,11)","R37.1 (31,10)",bare lead / short wire,0,
81,I_B2,SENSE,wire,"R41.1 (29,37)","U1.A5 (12,14)","wire-wrap 30 AWG, cyan",114,
82,I_B2,SENSE,link (bend the lead / short bridge),"R40.1 (29,38)","R41.1 (29,37)",bare lead / short wire,0,
83,U14_OUT,SENSE,wire,"U14.OUT (27,13)","R34.2 (29,11)","wire-wrap 30 AWG, cyan",22,
84,U15_OUT,SENSE,wire,"U15.OUT (33,13)","R36.2 (35,11)","wire-wrap 30 AWG, cyan",22,
85,U16_OUT,SENSE,wire,"U16.OUT (25,40)","R38.2 (27,38)","wire-wrap 30 AWG, cyan",22,
86,U17_OUT,SENSE,wire,"U17.OUT (31,40)","R40.2 (33,38)","wire-wrap 30 AWG, cyan",22,
87,VBUS_SENSE,SENSE,link (bend the lead / short bridge),"R4.2 (14,11)","R5.1 (14,12)",bare lead / short wire,0,
88,VBUS_SENSE,SENSE,wire,"R5.1 (14,12)","U1.A3 (14,14)","wire-wrap 30 AWG, cyan",17,
89,GND,GND,flying lead (top side),TP1G.1,U11.VIN-,"hookup 22 AWG solid, black",22,screw into the module's VIN- terminal
90,VM,VM,flying lead (top side),TP1V.1,U11.VIN+,"hookup 22 AWG solid, red",22,screw into the module's VIN+ terminal
91,PH_A1_in,PHASE,flying lead (top side),TP1A.1,U14.IP+,"hookup 22 AWG solid, brown",21,screw into IP+
92,PH_A1,PHASE,flying lead (top side),U14.IP-,TP1A2.1,"hookup 22 AWG solid, brown",21,screw into IP-
93,PH_B1_in,PHASE,flying lead (top side),TP1B.1,U15.IP+,"hookup 22 AWG solid, brown",21,screw into IP+
94,PH_B1,PHASE,flying lead (top side),U15.IP-,TP1B2.1,"hookup 22 AWG solid, brown",21,screw into IP-
95,GND,GND,flying lead (top side),TP2G.1,U12.VIN-,"hookup 22 AWG solid, black",22,screw into the module's VIN- terminal
96,VM,VM,flying lead (top side),TP2V.1,U12.VIN+,"hookup 22 AWG solid, red",22,screw into the module's VIN+ terminal
97,PH_A2_in,PHASE,flying lead (top side),TP2A.1,U16.IP+,"hookup 22 AWG solid, brown",21,screw into IP+
98,PH_A2,PHASE,flying lead (top side),U16.IP-,TP2A2.1,"hookup 22 AWG solid, brown",21,screw into IP-
