qty,refs,value,footprint / mounting,note
1,J1,12 V IN,terminal 2 pos 5.08 mm,"screw terminal, 5.08 mm pitch (sits on the 0.1 in grid)"
1,F1,PTC 1.1 A,"radial PTC, 5 mm lead spacing",resettable fuse e.g. MF-R110 (or a 2 A fuse holder)
1,D1,1N5822,"axial DO-201, 12.7 mm span","reverse-polarity protection, 3 A Schottky (SB540/SB560 ok)"
1,C1,470u 25V,"radial 10 mm, 5 mm lead spacing",bulk cap for the motor driver (polymer or electrolytic)
1,D2,1.5KE22CA,"axial DO-201, 12.7 mm span",bidirectional TVS across VM (optional on a bench supply)
2,C2 C4,100n,"ceramic, 5.08 mm span",7805 input decoupling; 7805 output decoupling
1,U2,L7805CV,TO-220 upright + clip-on heatsink,5 V for the ACS712s and the 3.3 V regulator; ~0.7 W -> small heatsink
1,C3,100u 16V,"radial 8 mm, 3.5-5 mm lead spacing",7805 output cap (polymer ok)
1,R4,100k,"axial 1/4 W, 10.16 mm span","VBUS sense divider, top"
1,R5,15k,"axial 1/4 W, 10.16 mm span","VBUS sense divider, bottom (12 V -> 1.57 V, 24 V -> 3.13 V)"
1,U3,LD1117V33,TO-220 upright,"3.3 V for MCU, encoder, CAN transceiver (~100 mA); AMS1117-3.3 module also fine"
1,C5,10u 16V,"radial 6.3 mm, 2.5 mm lead spacing","LD1117 output cap (tantalum/polymer, ESR >= 0.3 ohm preferred)"
1,U1,STM32G431CBT6,"LQFP48 -> DIP48 adapter, 12 pins/side, 13 holes between rows",0.5 mm pitch adapter board with 4x 1x12 male pin strips; check the pin-row spacing of yours
4,C7 C8 C9 C14,100n,"ceramic, 2.54 mm span",VDD/VSS pins 23-24; VDD/VSS pins 35-36; VDD/VSS pins 47-48; NRST filter
1,C11,1u,"ceramic, 5.08 mm span",VDDA/VSSA (VREF+ tied to VDDA)
1,Y1,8 MHz,"HC-49S crystal, 2 holes",HSE for FDCAN bit timing
2,C12 C13,20p,"ceramic, 2.54 mm span",crystal load (PF0); crystal load (PF1)
1,SW1,RESET,6x6 mm tactile switch,momentary to GND
1,SW2,ADDR,DIP switch 4 pos,node address bits to GND; use the MCU internal pull-ups
1,D4,LED FAULT,5 mm / 3 mm LED,active-low LED from 3.3 V (PB9)
2,R7 R8,1k,"axial 1/4 W, 10.16 mm span",LED FAULT series; LED RUN series
1,JP1,BOOT0,1x2 pin header + jumper,fit the jumper to enter the system bootloader
3,R6 R34 R36,10k,"axial 1/4 W, 10.16 mm span",BOOT0 pull-down; U14 OUT series resistor (divider top); U15 OUT series resistor (divider top)
1,D5,LED RUN,5 mm / 3 mm LED,active-low LED from 3.3 V (PB4)
1,J4,SWD,1x5 male header,ST-Link V2 programming / debug
2,R9 R10,4k7,"axial 1/4 W, 10.16 mm span",I2C pull-up SCL; I2C pull-up SDA
1,J5,AS5600,1x5 male header,encoder on the motor; DIR tied to GND on the board
1,J8,UART3,1x3 male header,PB10/PB11 debug console (3.3 V levels)
1,U4,SN65HVD230,SOIC-8 -> DIP-8 adapter,3.3 V CAN transceiver on a SOIC8->DIP8 adapter
1,R11,0R (wire),"axial 1/4 W, 10.16 mm span",Rs: 0 R = high-speed mode; 10k = slope control for <= 500 kbit/s
1,JP2,TERM,1x2 pin header + jumper,fit the jumper on the two end nodes of the bus
1,R12,120R,"axial 1/4 W, 10.16 mm span",CAN termination
1,JC1,CAN A,1x3 male header,bus in
1,JC2,CAN B,1x3 male header,bus out (daisy chain)
1,U11,SimpleFOC Mini,"SimpleFOC Mini v1.1, male pins down",DRV8313; plug into 1x6 + 1x5 + 1x3 female sockets or solder the pins directly
6,TP1G TP1V TP1A TP1A2 TP1B TP1B2,,solder point,hookup wire up to the module's VIN- terminal; hookup wire up to the module's VIN+ terminal; hole for the phase lead into IP+; hole for the phase lead out of IP-
1,J21,MOTOR,terminal 3 pos 5.08 mm,2804 gimbal motor phases
2,U14 U15,ACS712-05B,ACS712 module on a 1x3 female socket,185 mV/A; needs 5 V; output centred at 2.5 V
2,R35 R37,20k,"axial 1/4 W, 10.16 mm span",U14 divider bottom: 0-5 V -> 0-3.3 V for the ADC; U15 divider bottom: 0-5 V -> 0-3.3 V for the ADC
