step,net,cls,kind,frm,to,wire,length_mm,note
1,VM,VM,bus bar,"hole (3,7)","hole (23,7)",bare tinned 22 AWG solid,61,"leads sitting on this bus, solder them to it: C1.+, C2.1, U2.IN"
2,+5V,5V,bus bar,"hole (25,7)","hole (36,7)",bare tinned 22 AWG solid,38,"leads sitting on this bus, solder them to it: U2.OUT, C3.+, C4.1"
3,GND,GND,bus bar,"hole (36,9)","hole (2,9)",bare tinned 22 AWG solid,96,"leads sitting on this bus, solder them to it: C1.-, C2.2, C3.-, C4.2"
4,GND,GND,bus bar,"hole (2,9)","hole (2,40)",bare tinned 22 AWG solid,89,
5,GND,GND,bus bar,"hole (2,40)","hole (36,40)",bare tinned 22 AWG solid,96,
6,+3V3,3V3,bus bar,"hole (14,12)","hole (26,12)",bare tinned 22 AWG solid,40,"leads sitting on this bus, solder them to it: C5.+"
7,+3V3,3V3,bus bar,"hole (26,12)","hole (26,33)",bare tinned 22 AWG solid,63,
8,+3V3,3V3,bus bar,"hole (26,33)","hole (4,33)",bare tinned 22 AWG solid,66,
9,GND,GND,tap to bus,"J1.- (5,4)","GND bus at (5,9)","hookup 22 AWG solid, black",25,
10,GND,GND,tap to bus,"U2.GND (24,7)","GND bus at (24,9)","hookup 22 AWG solid, black",17,
11,GND,GND,tap to bus,"D2.A (19,8)","GND bus at (19,9)","hookup 22 AWG solid, black",15,
12,GND,GND,tap to bus,"U3.GND (21,10)","GND bus at (21,9)","hookup 22 AWG solid, black",15,
13,GND,GND,tap to bus,"C5.- (26,11)","GND bus at (26,9)","hookup 22 AWG solid, black",17,
14,GND,GND,tap to bus,"R35.2 (31,11)","GND bus at (31,9)","hookup 22 AWG solid, black",17,
15,GND,GND,tap to bus,"R37.2 (37,11)","GND bus at (36,9)","hookup 22 AWG solid, black",20,
16,GND,GND,tap to bus,"R5.2 (11,12)","GND bus at (11,9)","hookup 22 AWG solid, black",20,
17,GND,GND,tap to bus,"SW2.1b (16,13)","GND bus at (16,9)","hookup 22 AWG solid, black",22,
18,GND,GND,tap to bus,"SW2.2b (17,13)","GND bus at (17,9)","hookup 22 AWG solid, black",22,
19,GND,GND,tap to bus,"SW2.3b (18,13)","GND bus at (18,9)","hookup 22 AWG solid, black",22,
20,GND,GND,tap to bus,"SW2.4b (19,13)","GND bus at (19,9)","hookup 22 AWG solid, black",22,
21,GND,GND,tap to bus,"C13.1 (10,14)","GND bus at (10,9)","hookup 22 AWG solid, black",25,
22,GND,GND,tap to bus,"C12.2 (13,14)","GND bus at (13,9)","hookup 22 AWG solid, black",25,
23,GND,GND,tap to bus,"U14.GND (30,14)","GND bus at (30,9)","hookup 22 AWG solid, black",25,
24,GND,GND,tap to bus,"U15.GND (36,14)","GND bus at (36,9)","hookup 22 AWG solid, black",25,
25,GND,GND,tap to bus,"SW1.B1 (5,15)","GND bus at (2,15)","hookup 22 AWG solid, black",20,
26,GND,GND,tap to bus,"C14.1 (7,16)","GND bus at (2,16)","hookup 22 AWG solid, black",25,
27,GND,GND,tap to bus,"C9.1 (18,17)","GND bus at (18,9)","hookup 22 AWG solid, black",32,
28,GND,GND,tap to bus,"U1.VSS (17,19)","GND bus at (17,9)","hookup 22 AWG solid, black",37,
29,GND,GND,tap to bus,"C11.1 (3,21)","GND bus at (2,21)","hookup 22 AWG solid, black",15,
30,GND,GND,tap to bus,"R6.2 (22,22)","GND bus at (22,9)","hookup 22 AWG solid, black",45,
31,GND,GND,tap to bus,"U1.VSSA (4,24)","GND bus at (2,24)","hookup 22 AWG solid, black",17,
32,GND,GND,tap to bus,"C7.1 (3,25)","GND bus at (2,25)","hookup 22 AWG solid, black",15,
33,GND,GND,tap to bus,"U1.VSS (4,28)","GND bus at (2,28)","hookup 22 AWG solid, black",17,
34,GND,GND,tap to bus,"U1.VSS (15,30)","GND bus at (15,40)","hookup 22 AWG solid, black",37,
35,GND,GND,tap to bus,"C8.1 (15,31)","GND bus at (15,40)","hookup 22 AWG solid, black",35,
36,GND,GND,tap to bus,"J4.GND (19,31)","GND bus at (19,40)","hookup 22 AWG solid, black",35,
37,GND,GND,tap to bus,"J8.GND (8,32)","GND bus at (2,32)","hookup 22 AWG solid, black",27,
38,GND,GND,tap to bus,"J5.GND (20,32)","GND bus at (20,40)","hookup 22 AWG solid, black",32,
